lambda,phi,theta
0,0,0
3.626121613,222.4922359,0
1.502845306,222.4922359,0
1.15375902,222.4922359,0
0.973154627,222.4922359,0
0.857798533,222.4922359,0
0.775900005,222.4922359,0
0.713873473,222.4922359,0
0.664792506,222.4922359,0
0.624702085,222.4922359,0
0.591156565,222.4922359,0
0.562551118,222.4922359,0
0.537783002,222.4922359,0
0.516066029,222.4922359,0
0.49682252,222.4922359,0
0.479617179,222.4922359,0
0.464114924,222.4922359,0
0.450053044,222.4922359,0
0.437222268,222.4922359,0
0.425453548,222.4922359,0
0.414608639,222.4922359,0
0.404573238,222.4922359,0
0.395251903,222.4922359,0
0.38656423,222.4922359,0
0.378441943,222.4922359,0
0.370826633,222.4922359,0
0.363668,222.4922359,0
0.356922464,222.4922359,0
0.350552047,222.4922359,0
0.344523484,222.4922359,0
0.338807498,222.4922359,0
0.333378201,222.4922359,0
0.328212612,222.4922359,0
0.323290244,222.4922359,0
0.318592772,222.4922359,0
0.314103745,222.4922359,0
0.309808348,222.4922359,0
0.305693198,222.4922359,0
0.301746172,222.4922359,0
0.297956257,222.4922359,0
0.294313423,222.4922359,0
0.290808515,222.4922359,0
0.287433154,222.4922359,0
0.284179658,222.4922359,0
0.281040965,222.4922359,0
0.278010575,222.4922359,0
0.275082491,222.4922359,0
0.272251168,222.4922359,0
0.269511475,222.4922359,0
0.266858654,222.4922359,0
0.264288283,222.4922359,0
0.261796251,222.4922359,0
0.259378728,222.4922359,0
0.257032138,222.4922359,0
0.254753144,222.4922359,0
0.252538623,222.4922359,0
0.250385651,222.4922359,0
0.248291485,222.4922359,0
0.246253551,222.4922359,0
0.244269428,222.4922359,0
0.242336842,222.4922359,0
0.240453648,222.4922359,0
0.238617825,222.4922359,0
0.236827466,222.4922359,0
0.235080769,222.4922359,0
0.233376031,222.4922359,0
0.231711641,222.4922359,0
0.230086071,222.4922359,0
0.228497876,222.4922359,0
0.226945682,222.4922359,0
0.225428187,222.4922359,0
0.223944153,222.4922359,0
0.222492403,222.4922359,0
0.221071817,222.4922359,0
0.219681329,222.4922359,0
0.218319922,222.4922359,0
0.216986629,222.4922359,0
0.215680526,222.4922359,0
0.21440073,222.4922359,0
0.213146399,222.4922359,0
0.211916729,222.4922359,0
0.210710947,222.4922359,0
0.20952832,222.4922359,0
0.20836814,222.4922359,0
0.207229732,222.4922359,0
0.206112449,222.4922359,0
0.20501567,222.4922359,0
0.203938799,222.4922359,0
0.202881265,222.4922359,0
0.20184252,222.4922359,0
0.200822035,222.4922359,0
0.199819303,222.4922359,0
0.198833839,222.4922359,0
0.197865172,222.4922359,0
0.196912852,222.4922359,0
0.195976444,222.4922359,0
0.19505553,222.4922359,0
0.194149708,222.4922359,0
0.193258587,222.4922359,0
0.192381795,222.4922359,0
0.191518969,222.4922359,0
0.190669761,222.4922359,0
0.189833833,222.4922359,0
0.189010862,222.4922359,0
0.188200533,222.4922359,0
0.187402542,222.4922359,0
0.186616597,222.4922359,0
0.185842412,222.4922359,0
0.185079716,222.4922359,0
0.184328241,222.4922359,0
0.18358773,222.4922359,0
0.182857936,222.4922359,0
0.182138617,222.4922359,0
0.18142954,222.4922359,0
0.180730479,222.4922359,0
0.180041214,222.4922359,0
