HR,COLOR,VMAG,GLON,GLAT
1,ffffffff,1,65.56,-16.88
2,ffffffff,1,81.67,-61.14
3,ffffffff,1,86.25,-65.93
4,ffffffff,1,73.81,-47.98
5,ffffffff,1,62.97,-3.92
6,ffffffff,1,-141.61,-66.38
7,ffffffff,1,61.94,1.75
8,ffffffff,1,68.74,-32.83
9,ffffffff,1,127.79,-79.14
10,ffffffff,1,105.64,-75.9
11,ffffffff,1,81.98,-63.29
12,ffffffff,1,124.44,-79.07
13,ffffffff,1,-175.91,-78.67
14,ffffffff,1,81.66,-63.24
15,ffffffff,1,68.27,-32.84
16,ffffffff,1,88.21,-69.04
17,ffffffff,1,66.55,-25.45
18,ffffffff,1,105.31,-76.25
19,ffffffff,1,69.03,-36.42
20,ffffffff,1,59.02,17
21,ffffffff,1,62.48,-3.27
22,ffffffff,1,71.01,-43.51
23,ffffffff,1,-136.25,-62.02
24,ffffffff,1,154.76,-80.63
25,ffffffff,1,-144.34,-69.6
26,ffffffff,1,73.13,-50.43
27,ffffffff,1,64.48,-16.21
28,ffffffff,1,62.62,-5.26
29,ffffffff,1,83.01,-66.03
30,ffffffff,1,-124.63,-34.77
31,ffffffff,1,92.31,-72.6
32,ffffffff,1,-126.98,-43.58
33,ffffffff,1,97.76,-75.06
34,ffffffff,1,153.7,-81.13
35,ffffffff,1,-167.16,-78.34
36,ffffffff,1,63.84,-14.2
37,ffffffff,1,103.68,-77.1
38,ffffffff,1,65.45,-24.55
39,ffffffff,1,70.57,-46.68
40,ffffffff,1,67.44,-35.12
41,ffffffff,1,64.73,-21.27
42,ffffffff,1,141.72,-81.49
43,ffffffff,1,143.48,-81.54
44,ffffffff,1,66.01,-29.02
45,ffffffff,1,68.7,-41.83
46,ffffffff,1,83.13,-68.76
47,ffffffff,1,-123.91,-32.06
48,ffffffff,1,104.89,-78.23
49,ffffffff,1,68.08,-39.81
50,ffffffff,1,72.14,-52.98
51,ffffffff,1,84.94,-70.44
52,ffffffff,1,66.07,-30.7
53,ffffffff,1,66.9,-34.9
54,ffffffff,1,-165.8,-78.99
55,ffffffff,1,59.11,14.22
56,ffffffff,1,63.77,-18.82
57,ffffffff,1,178.47,-81.18
58,ffffffff,1,-125.79,-41.02
59,ffffffff,1,71.72,-53.64
60,ffffffff,1,61.17,-1.06
61,ffffffff,1,107.87,-79.47
62,ffffffff,1,62.99,-14.53
63,ffffffff,1,64.38,-23.7
64,ffffffff,1,-125.07,-38.2
65,ffffffff,1,62.41,-11.09
66,ffffffff,1,102.79,-78.78
67,ffffffff,1,74.11,-60.07
68,ffffffff,1,64.41,-25.61
69,ffffffff,1,70,-50.83
70,ffffffff,1,63.3,-18.68
71,ffffffff,1,65.21,-30.84
72,ffffffff,1,80.71,-69.4
73,ffffffff,1,-143.2,-72.58
74,ffffffff,1,81.02,-70.19
75,ffffffff,1,63.54,-21.74
76,ffffffff,1,62.37,-13.68
77,ffffffff,1,-128.35,-51.9
78,ffffffff,1,64.87,-31.47
79,ffffffff,1,64.47,-29.52
80,ffffffff,1,70.09,-53.9
81,ffffffff,1,69.07,-51.18
82,ffffffff,1,63.63,-24.52
83,ffffffff,1,-126.87,-47.27
84,ffffffff,1,164.48,-83.15
85,ffffffff,1,102.49,-80.2
86,ffffffff,1,67.81,-48.78
87,ffffffff,1,-125.04,-39.58
88,ffffffff,1,82.66,-73.64
89,ffffffff,1,-178.89,-82.7
90,ffffffff,1,62.93,-23.98
91,ffffffff,1,61.32,-10.63
93,ffffffff,1,60.21,-0.88
94,ffffffff,1,72.73,-64.27
96,ffffffff,1,61.08,-9.62
97,ffffffff,1,70.27,-60.26
98,ffffffff,1,-124.81,-39.77
99,ffffffff,1,-140.02,-73.98
100,ffffffff,1,-138.42,-72.68
101,ffffffff,1,70.5,-62.27
102,ffffffff,1,132.16,-84.35
103,ffffffff,1,64.9,-44.62
104,ffffffff,1,61.43,-18.28
105,ffffffff,1,-162.36,-82.23
106,ffffffff,1,65.11,-46.06
107,ffffffff,1,66.38,-52.26
108,ffffffff,1,96.13,-81.4
109,ffffffff,1,-141.94,-76.35
110,ffffffff,1,62.06,-25.75
111,ffffffff,1,-131.91,-66.2
112,ffffffff,1,58.26,14.2
113,ffffffff,1,59.71,-2.79
114,ffffffff,1,62.58,-32.89
115,ffffffff,1,80.42,-76.75
116,ffffffff,1,-164.92,-83.15
117,ffffffff,1,70.43,-66.27
118,ffffffff,1,113.13,-84.19
119,ffffffff,1,-138.97,-75.53
120,ffffffff,1,-132.52,-68.52
121,ffffffff,1,59.06,3.73
122,ffffffff,1,61.84,-29.1
123,ffffffff,1,59.95,-8.24
124,ffffffff,1,60.09,-9.92
125,ffffffff,1,-131.75,-67.98
126,ffffffff,1,-126.78,-54.02
127,ffffffff,1,-126.78,-54.01
128,ffffffff,1,60.71,-19.24
129,ffffffff,1,58.56,8.16
130,ffffffff,1,59.16,0.14
131,ffffffff,1,63.06,-42.36
132,ffffffff,1,65.45,-55.61
133,ffffffff,1,62.18,-35.1
134,ffffffff,1,62.04,-34.41
135,ffffffff,1,59.72,-7.88
136,ffffffff,1,-126.54,-53.97
137,ffffffff,1,58.75,3.93
138,ffffffff,1,179.99,-85.4
139,ffffffff,1,-125.01,-45.79
140,ffffffff,1,-128.97,-64.55
141,ffffffff,1,63.23,-49.3
142,ffffffff,1,67.11,-66.15
143,ffffffff,1,65.88,-63.1
144,ffffffff,1,59.33,-8.64
145,ffffffff,1,62.89,-49.49
146,ffffffff,1,58.92,-2.49
147,ffffffff,1,-130.27,-68.9
148,ffffffff,1,-127.83,-62.16
149,ffffffff,1,61.19,-35.5
150,ffffffff,1,74.25,-77.33
151,ffffffff,1,96.9,-84.48
152,ffffffff,1,59.82,-18.31
153,ffffffff,1,59.22,-8.91
154,ffffffff,1,60.53,-29.05
155,ffffffff,1,62.3,-47.49
156,ffffffff,1,61.26,-38.74
157,ffffffff,1,60.3,-27.38
158,ffffffff,1,57.47,19.63
159,ffffffff,1,111.32,-86.03
160,ffffffff,1,-125.46,-51.93
161,ffffffff,1,63.94,-59.55
162,ffffffff,1,-127.41,-62.61
163,ffffffff,1,60.43,-33.47
164,ffffffff,1,59.12,-13.47
165,ffffffff,1,60.13,-31.94
166,ffffffff,1,60.82,-41.53
167,ffffffff,1,60.64,-41.35
168,ffffffff,1,58.58,-6.3
169,ffffffff,1,-124.22,-43.96
170,ffffffff,1,-142.13,-82.73
171,ffffffff,1,-129.65,-72.18
172,ffffffff,1,71.08,-79.09
173,ffffffff,1,94.21,-85.86
174,ffffffff,1,63.95,-67.08
175,ffffffff,1,59.24,-23.37
176,ffffffff,1,-125.56,-57.61
177,ffffffff,1,58.02,3.29
178,ffffffff,1,59.91,-38.19
179,ffffffff,1,58.59,-12.33
180,ffffffff,1,-128.31,-70.94
181,ffffffff,1,58.23,-4.1
183,ffffffff,1,-125.65,-60.57
184,ffffffff,1,58.48,-15.82
185,ffffffff,1,-131.54,-78.52
186,ffffffff,1,-124.92,-56.83
187,ffffffff,1,-124.43,-51.63
188,ffffffff,1,68.69,-80.68
189,ffffffff,1,58.28,-14.99
190,ffffffff,1,64.16,-74.78
191,ffffffff,1,-125.08,-59.63
192,ffffffff,1,57.45,12.12
193,ffffffff,1,58.22,-14.57
194,ffffffff,1,63.31,-73.39
195,ffffffff,1,-130.14,-78.6
196,ffffffff,1,57.95,-7.64
197,ffffffff,1,73.98,-84.66
198,ffffffff,1,-127.36,-74.4
199,ffffffff,1,-124.31,-54.61
200,ffffffff,1,57.5,6.46
201,ffffffff,1,61,-67.46
202,ffffffff,1,-125.07,-63.39
203,ffffffff,1,62.95,-75.68
204,ffffffff,1,57.81,-7.56
205,ffffffff,1,58.05,-18
206,ffffffff,1,64.45,-79.21
207,ffffffff,1,57.67,-3.29
208,ffffffff,1,57.31,11.98
209,ffffffff,1,-125.68,-69.54
210,ffffffff,1,71.86,-85.24
211,ffffffff,1,58.81,-47.38
212,ffffffff,1,57.32,9.8
213,ffffffff,1,58.78,-50.88
214,ffffffff,1,58.43,-43.28
215,ffffffff,1,58.26,-38.59
216,ffffffff,1,58.87,-56.12
217,ffffffff,1,58.18,-41.94
218,ffffffff,1,62.66,-80.89
219,ffffffff,1,57.4,-5.05
220,ffffffff,1,65.45,-84.54
221,ffffffff,1,58.45,-55.56
222,ffffffff,1,58.51,-57.57
223,ffffffff,1,57.49,-11.9
224,ffffffff,1,58.27,-55.28
225,ffffffff,1,57.91,-45.92
226,ffffffff,1,57.4,-21.79
227,ffffffff,1,59.16,-76.42
228,ffffffff,1,66.64,-86.97
229,ffffffff,1,-124.21,-70.42
230,ffffffff,1,57.49,-35.16
231,ffffffff,1,57.49,-35.16
232,ffffffff,1,63.61,-86.21
233,ffffffff,1,57.15,1.38
234,ffffffff,1,57.28,-17.87
235,ffffffff,1,58.19,-73.51
236,ffffffff,1,-123.18,-42.2
237,ffffffff,1,57.09,-1.07
238,ffffffff,1,57.15,-11.36
239,ffffffff,1,-123.82,-73.73
240,ffffffff,1,56.97,20.84
241,ffffffff,1,57.05,-11.3
242,ffffffff,1,-123.23,-66.14
243,ffffffff,1,57.13,-59.49
244,ffffffff,1,56.87,-1.75
245,ffffffff,1,-122.66,-73.42
246,ffffffff,1,56.76,-24.32
247,ffffffff,1,51.9,-86.87
248,ffffffff,1,56.17,-64.01
249,ffffffff,1,56.62,-25.45
250,ffffffff,1,56.71,-10.18
251,ffffffff,1,47.41,-87.62
252,ffffffff,1,-122.81,-47.62
253,ffffffff,1,56.61,-3.9
254,ffffffff,1,56.04,-43.68
