HR,COLOR,GLON,GLAT
1,ffffffff,114.44,-16.88
2,ffffffff,98.33,-61.14
3,ffffffff,93.75,-65.93
4,ffffffff,106.19,-47.98
5,ffffffff,117.03,-3.92
6,ffffffff,38.39,-66.38
7,ffffffff,118.06,1.75
8,ffffffff,111.26,-32.83
9,ffffffff,52.21,-79.14
10,ffffffff,74.36,-75.9
11,ffffffff,98.02,-63.29
12,ffffffff,55.56,-79.07
13,ffffffff,4.09,-78.67
14,ffffffff,98.34,-63.24
15,ffffffff,111.73,-32.84
16,ffffffff,91.79,-69.04
17,ffffffff,113.45,-25.45
18,ffffffff,74.69,-76.25
19,ffffffff,110.97,-36.42
20,ffffffff,120.98,17
21,ffffffff,117.52,-3.27
22,ffffffff,108.99,-43.51
23,ffffffff,43.75,-62.02
24,ffffffff,25.24,-80.63
25,ffffffff,35.66,-69.6
26,ffffffff,106.87,-50.43
27,ffffffff,115.52,-16.21
28,ffffffff,117.38,-5.26
29,ffffffff,96.99,-66.03
30,ffffffff,55.37,-34.77
31,ffffffff,87.69,-72.6
32,ffffffff,53.02,-43.58
33,ffffffff,82.24,-75.06
34,ffffffff,26.3,-81.13
35,ffffffff,12.84,-78.34
36,ffffffff,116.16,-14.2
37,ffffffff,76.32,-77.1
38,ffffffff,114.55,-24.55
39,ffffffff,109.43,-46.68
40,ffffffff,112.56,-35.12
41,ffffffff,115.27,-21.27
42,ffffffff,38.28,-81.49
43,ffffffff,36.52,-81.54
44,ffffffff,113.99,-29.02
45,ffffffff,111.3,-41.83
46,ffffffff,96.87,-68.76
47,ffffffff,56.09,-32.06
48,ffffffff,75.11,-78.23
49,ffffffff,111.92,-39.81
50,ffffffff,107.86,-52.98
51,ffffffff,95.06,-70.44
52,ffffffff,113.93,-30.7
53,ffffffff,113.1,-34.9
54,ffffffff,14.2,-78.99
55,ffffffff,120.89,14.22
56,ffffffff,116.23,-18.82
57,ffffffff,1.53,-81.18
58,ffffffff,54.21,-41.02
59,ffffffff,108.28,-53.64
60,ffffffff,118.83,-1.06
61,ffffffff,72.13,-79.47
62,ffffffff,117.01,-14.53
63,ffffffff,115.62,-23.7
64,ffffffff,54.93,-38.2
65,ffffffff,117.59,-11.09
66,ffffffff,77.21,-78.78
67,ffffffff,105.89,-60.07
68,ffffffff,115.59,-25.61
69,ffffffff,110,-50.83
70,ffffffff,116.7,-18.68
71,ffffffff,114.79,-30.84
72,ffffffff,99.29,-69.4
73,ffffffff,36.8,-72.58
74,ffffffff,98.98,-70.19
75,ffffffff,116.46,-21.74
76,ffffffff,117.63,-13.68
77,ffffffff,51.65,-51.9
78,ffffffff,115.13,-31.47
79,ffffffff,115.53,-29.52
80,ffffffff,109.91,-53.9
81,ffffffff,110.93,-51.18
82,ffffffff,116.37,-24.52
83,ffffffff,53.13,-47.27
84,ffffffff,15.52,-83.15
85,ffffffff,77.51,-80.2
86,ffffffff,112.19,-48.78
87,ffffffff,54.96,-39.58
88,ffffffff,97.34,-73.64
89,ffffffff,1.11,-82.7
90,ffffffff,117.07,-23.98
91,ffffffff,118.68,-10.63
92,ffffffff,0,
93,ffffffff,119.79,-0.88
94,ffffffff,107.27,-64.27
