COLOR,calc_x,calc_y,calc_z
ffffffff,-5.909165877,13.00254727,-4.333853507
ffffffff,-1.111711163,7.592669782,-13.92371555
ffffffff,-0.578629636,8.82818226,-19.80581027
ffffffff,-3.387325847,11.66685206,-13.48296206
ffffffff,-7.607277761,14.91081743,-1.147039329
ffffffff,5.509561599,-4.365259254,-16.07408641
ffffffff,-8.411029138,15.77896054,0.54630614
ffffffff,-4.970426571,12.77482974,-8.844180353
ffffffff,1.868151253,2.40927424,-15.89143183
ffffffff,1.061012916,3.78990414,-15.66836858
ffffffff,-0.975275012,6.921909684,-13.89258093
ffffffff,1.805258358,2.632568871,-16.52962236
ffffffff,3.449986477,-0.246692883,-17.26253393
ffffffff,-1.075914779,7.339254448,-14.71005557
ffffffff,-15.10027043,37.8875471,-26.32499536
ffffffff,-0.18653976,5.968974032,-15.58982282
ffffffff,-5.805039544,13.38260156,-6.94221775
ffffffff,1.035625645,3.783015523,-16.02874703
ffffffff,-4.622479958,12.06084357,-9.529691997
ffffffff,-8.190469162,13.64201403,4.864753822
ffffffff,-20.32184566,39.00465409,-2.512832094
ffffffff,-4.267630917,12.40113086,-12.44993069
ffffffff,5.353975987,-5.125317001,-13.9512072
ffffffff,2.717082899,1.280879833,-18.20401372
ffffffff,7.299266826,-5.237332096,-24.15675231
ffffffff,-3.355065007,11.06364265,-13.98996173
ffffffff,-8.224624848,17.22780579,-5.549874844
ffffffff,-6.79455828,13.11923818,-1.360169407
ffffffff,-0.846576186,6.904772323,-15.64654622
ffffffff,8.841061337,-12.80150249,-10.80082456
ffffffff,0.206037492,5.107654434,-16.31180049
ffffffff,6.562656232,-8.715266907,-10.38202889
ffffffff,0.711864018,5.223854345,-19.75861618
ffffffff,2.555120063,1.26281899,-18.26322988
ffffffff,3.753331556,-0.855492019,-18.65455513
ffffffff,-6.938448486,14.12567457,-3.982262758
ffffffff,1.005684353,4.131750421,-18.56687989
ffffffff,-5.615553263,12.29376533,-6.173657885
ffffffff,-8.064500649,22.86217588,-25.70789108
ffffffff,-4.981058633,11.989811,-9.131600081
ffffffff,-6.95464362,14.73262283,-6.342016579
ffffffff,1.955636434,1.543360478,-16.64966415
ffffffff,1.873724133,1.38749536,-15.675417
ffffffff,-5.688505579,12.78259642,-7.761838249
ffffffff,-5.638922166,14.46308746,-13.89422311
ffffffff,-0.846373013,7.02488807,-18.20451392
ffffffff,8.194240439,-12.18971999,-9.199428898
ffffffff,1.180550428,4.439953081,-22.04897136
ffffffff,-4.595632502,11.42047404,-10.260317
ffffffff,-3.189248076,9.897722111,-13.78973037
ffffffff,-0.513538227,5.799810037,-16.38767674
ffffffff,-5.407340762,12.18512916,-7.915394076
ffffffff,-5.067338932,11.88020987,-9.010171235
ffffffff,3.000729042,-0.759301179,-15.90913883
ffffffff,-7.837181028,13.10016344,3.868437342
ffffffff,-6.802376039,13.80600092,-5.245465342
ffffffff,2.703282513,0.072204369,-17.42812908
ffffffff,6.798649701,-9.430028906,-10.11282638
ffffffff,-3.043470995,9.213393042,-13.1801618
ffffffff,-8.399475967,15.25965846,-0.322289804
ffffffff,0.866745906,2.688308799,-15.19566236
ffffffff,-7.463850302,14.64231275,-4.259539739
ffffffff,-8.588567957,17.90967795,-8.719040708
ffffffff,6.669647443,-9.50051856,-9.134540552
ffffffff,-7.402162389,14.16505167,-3.132747487
ffffffff,0.667830566,2.941843724,-15.20755496
ffffffff,-2.214033915,7.777578211,-14.04595823
ffffffff,-8.617133839,17.99340432,-9.562901365
ffffffff,-3.570709834,9.810444641,-12.81446797
ffffffff,-6.966445714,13.85123553,-5.241936699
ffffffff,-6.132988874,13.27909026,-8.73326077
ffffffff,-0.879231473,5.3750288,-14.49008569
ffffffff,3.787014956,-2.833049146,-15.07323674
ffffffff,-1.485930546,9.403038422,-26.42757398
ffffffff,-6.538407547,13.13697626,-5.85142692
ffffffff,-6.91110306,13.20287886,-3.62728523
ffffffff,9.050787861,-11.43974612,-18.60366482
ffffffff,-6.139149689,13.08783766,-8.84833986
ffffffff,-6.477287628,13.56163716,-8.509971357
ffffffff,-3.736444726,10.31618861,-15.04636655
ffffffff,-3.413674209,8.925503306,-11.87681694
